question_number,category,question_length,is_numerical,used_rag,reason,tokens_generated,tool_calls
1.3.2,complex,60,False,True,"Complex question, RAG triggered",8,1
1.3.4,complex,83,False,True,"Complex question, RAG triggered",8,1
2.7.2,complex,23,False,True,"Complex question, RAG triggered",8,1
2.7.4,complex,67,False,True,"Complex question, RAG triggered",8,1
2.7.6,complex,80,False,True,"Complex question, RAG triggered",8,1
2.7.8,simple,18,False,False,"Simple question, direct generation",5,0
2.7.10,simple,10,False,False,"Simple question, direct generation",5,0
2.7.14,complex,103,False,True,"Complex question, RAG triggered",8,1
2.7.16,complex,33,False,True,"Complex question, RAG triggered",8,1
2.7.18,complex,54,False,True,"Complex question, RAG triggered",8,1
2.7.20,complex,95,False,True,"Complex question, RAG triggered",8,1
2.7.22,complex,105,False,True,"Complex question, RAG triggered",8,1
3.6.2,complex,31,False,True,"Complex question, RAG triggered",8,1
3.6.8,complex,123,False,True,"Complex question, RAG triggered",8,1
3.6.10,complex,69,False,True,"Complex question, RAG triggered",8,1
3.6.12,complex,38,False,True,"Complex question, RAG triggered",8,1
3.6.16,complex,92,False,True,"Complex question, RAG triggered",8,1
3.6.18,complex,47,False,True,"Complex question, RAG triggered",8,1
4.5.2,complex,29,False,True,"Complex question, RAG triggered",8,1
4.5.4,complex,54,False,True,"Complex question, RAG triggered",8,1
4.5.6,complex,45,False,True,"Complex question, RAG triggered",8,1
4.5.8,complex,103,False,True,"Complex question, RAG triggered",8,1
4.5.10,complex,72,False,True,"Complex question, RAG triggered",8,1
4.5.12,complex,143,False,True,"Complex question, RAG triggered",8,1
4.5.14,complex,119,False,True,"Complex question, RAG triggered",8,1
5.5.2,complex,41,False,True,"Complex question, RAG triggered",8,1
5.5.4,complex,20,False,True,"Complex question, RAG triggered",8,1
5.5.6,complex,26,False,True,"Complex question, RAG triggered",8,1
5.5.8,complex,38,False,True,"Complex question, RAG triggered",8,1
5.5.12,complex,24,False,True,"Complex question, RAG triggered",8,1
6.3.2,complex,37,False,True,"Complex question, RAG triggered",8,1
6.3.4,complex,52,False,True,"Complex question, RAG triggered",8,1
6.3.6,complex,76,False,True,"Complex question, RAG triggered",8,1
